A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
95,321.4154736960353,1.0,0.6224993657673746,127.23576616099623,1.0,0.5577974634794867,42.251091486453575,10.0,0.8456199593264971,106.49656117032433,1.5,0.9248732375352744,193.2414867462237,1.0,0.1014123253593273,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4826,policy 1,dikesnet
79,289.5570839004819,1.5,0.828219968331543,93.03072808978924,10.0,0.7047956341256051,292.1411366911467,1.0,0.4842846367823741,252.2615412869251,1.0,0.6836157938812716,242.2729023452608,10.0,0.6090756049159808,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5103,policy 1,dikesnet
75,35.6050280469159,1.5,0.032096211644581,297.5586902338923,1.5,0.5356129646694081,282.5598436557425,1.5,0.7106154098987455,292.0758235777027,10.0,0.2736377581086154,74.01026369260478,1.0,0.3137427150683919,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5502,policy 1,dikesnet
128,266.8152679975788,10.0,0.5986697770101487,83.00517420106513,10.0,0.6376196206517879,289.06930209611625,1.0,0.6382162387479023,39.36573872896255,10.0,0.3154592722622952,327.4704381020394,10.0,0.6712075071358153,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6253,policy 1,dikesnet
